geneID,Ribo_Mock_RPKM_AVG,Ribo_IC_RPKM_AVG,RNA_Mock_RPKM_AVG,RNA_IC_RPKM_AVG,RNAlog2fc,RNA_adjp,Ribolog2fc,Ribo_adjp,TE_Mock,TE_IC,log2_TEfc
AT1G06360,2.334508316,1.585341888,7.356254143,2.266298877,-1.272586047,0.103674886,-0.139930367,0.987703677,0.317350145,0.699529044,1.140308459
AT1G06390,9.561433191,5.987246547,25.4718017,17.48866691,-0.387371203,0.704530207,-0.362729116,0.906326092,0.375373258,0.342350082,-0.132853518
AT1G06400,9.051706167,8.175487365,32.50677893,43.84585175,0.493327845,0.108172519,-0.310079905,0.936826375,0.278455955,0.186459768,-0.578584765
AT1G06410,33.06789919,32.52585475,45.36466953,32.37286627,-0.422842334,0.112982275,-0.064507214,0.970346925,0.728935084,1.004725825,0.462939619
AT1G06430,25.06092972,18.40170702,50.65596011,36.54347877,-0.211994435,0.221156949,-0.422949301,0.34705405,0.494728156,0.503556521,0.025517711
AT1G06460,8.978056987,8.016120819,23.72731965,38.18602228,0.762638409,0.018793175,0.041442712,0.993235243,0.378384795,0.209922907,-0.849994512
AT1G06470,4.979076658,4.246342048,3.482346307,8.202436412,1.059511978,0.044929348,-0.190193598,0.970346925,1.429805143,0.517692773,-1.465650464
AT1G06510,5.91442422,2.12435402,8.946744166,4.778168408,-0.500160158,0.801973454,-1.096698516,0.532224008,0.661070006,0.444595887,-0.572308458
AT1G06550,2.114734818,1.669650167,7.614569057,2.803062435,-0.979623373,0.423246393,-0.25183353,0.968936277,0.277722193,0.59565215,1.100827601
AT1G06570,14.87191456,10.77877428,29.96308037,26.25065975,0.009354114,0.991878792,-0.435056993,0.722637652,0.49634131,0.410609652,-0.273564992
AT1G06640,3.420690046,2.406215402,21.95555529,27.72900653,0.371241025,0.697109861,-1.00731723,0.469939342,0.155800662,0.086776113,-0.844331494
AT1G06650,3.470741839,3.677640566,18.47561805,12.93508443,-0.51026916,0.203669432,-0.06709774,0.989950827,0.18785525,0.284315157,0.597869581
AT1G06670,1.851307725,1.505828771,1.90133653,1.701976509,0.009781864,0.995356505,-0.144221385,0.97421589,0.973687559,0.88475297,-0.138184209
AT1G06680,751.7709111,605.5406989,3784.86657,3482.267716,-0.069407077,0.762282125,-0.229126164,0.124243911,0.198625473,0.173892632,-0.191853846
